StateA,State,District,Year,Dcandidate,Rcandidate,Ocandidate,Dpercent,Rpercent,Opercent,IncumbentParty,Winner,Margin,IncOverPerformance,P2024,P2020,P2016,P2012,P2008,P2004,P2000,Evs,Redistricted,Polls,Chance,Median
,House,CO07,2024,Brittany Pettersen,Sergei Matveyuk,,55.3,41.2,,D,,14.1,7.62,15,14.58,3.24,2.73,,,,,,,1.0,16.475
,House,CO08,2024,Yadira Caraveo,Gabe Evans,,48.2,49,,D,,-0.8,3.2200000000000006,-1.8,4.68,-1.92,7.93,,,,,,,0.6814457126134036,2.4499999999999997
,House,CT01,2024,John Larson,Jim Griffin,,63.4,34.6,,D,,28.8,2.4899999999999984,22.94,28.51,24.34,28.53,,,,,,,1.0,25.77
,House,CT02,2024,Joe Courtney,Mike France,,58,42,,D,,16,13.489999999999998,7.72,11.71,3.58,13.19,,,,,,,0.9881474978050921,15.48
,House,CT03,2024,Rosa DeLauro,Michael Massey,,57.9,42.1,,D,,15.8,3.3200000000000003,13.83,19.98,14.46,25.97,,,,,,,1.0,17.37
,House,CT04,2024,Jim Himes,Michael Goldstein,,61,37.4,,D,,23.6,-5.640000000000001,23.24,31.64,25.48,11.97,,,,,,,1.0,26.67
,House,CT05,2024,Jahana Hayes,George Logan,,53.3,46.7,,D,,6.6,-2.91,5.38,10.91,4.4,8.72,,,,,,,0.8577699736611062,5.975
,House,DEAL,2024,Sarah McBride,John Whalen,,57.9,42.1,,OPEN,,15.8,0,14.74,19.25,12,18.9,,,,,,,1.0,15.02
,House,FL01,2024,Gay Valimont,Matt Gaetz,,34,66,,R,,-32,4.280000000000008,-37.22,-32.88,-40.1,-38.18,,,,,,,0.0,-35.11
,House,FL10,2024,Maxwell Frost,Willie Montague,,62.4,37.6,,D,,24.8,-24.95,22.61,32.15,33.92,26.74,,,,,,,0.8001170617500731,12.9225
,House,FL02,2024,Yen Bailey,Neal Dunn,,38.4,61.6,,R,,-23.2,-0.6900000000000013,-18.07,-11.11,-12.43,-8.01,,,,,,,0.0,-17.73
,House,FL03,2024,Tom Wells,Kat Cammack,,38.4,61.6,,R,,-23.2,-4.759999999999998,-21.11,-14.24,-15.34,-11.24,,,,,,,0.0,-23.03
,House,FL04,2024,LaShonda Holloway,Aaron Bean,,42.7,57.3,,R,,-14.6,-7.02,-11.83,-6.78,-10.87,-8.67,,,,,,,0.0004389815627743635,-15.820000000000004
,House,FL05,2024,Jay McGovern,John Rutherford,,36.9,63.1,,R,,-26.2,0,-21.33,-15.98,-23.06,-28.14,,,,,,,0.0,-18.53
,House,FL06,2024,James Stockton III,Michael Waltz,,33.5,66.5,,R,,-33,-19.51,-30.02,-23.89,-24.3,-12.81,,,,,,,0.0,-41.63000000000001
,House,FL07,2024,Jennifer Adams,Cory Mills,,43.5,56.5,,R,,-13,-4.190000000000001,-12.51,-5.61,-8.13,-5.71,,,,,,,0.0004389815627743635,-13.655
,House,FL08,2024,Sandy Kennedy,Mike Haridopolos,,37.8,62.2,,OPEN,,-24.4,0,-22.37,-17.84,-21.64,-14.85,,,,,,,0.0,-24.07
,House,FL09,2024,Darren Soto,Thomas Chalifoux,,55.1,42.6,,D,,12.5,-3.200000000000002,3.52,17.6,27.49,24.15,,,,,,,0.9145449224465906,8.969999999999999
,House,FL11,2024,Barbie Hall,Daniel Webster,,39.6,60.4,,R,,-20.8,-9.54,-16.24,-10.96,-15.56,-15.41,,,,,,,0.0,-20.805000000000003
,House,FL12,2024,Rock Aboujaoude Jr.,Gus Bilirakis,,29,71,,R,,-42,-4.589999999999989,-34.53,-29.01,-29.61,-10.03,,,,,,,0.0,-39.040000000000006
,House,FL13,2024,Whitney Fox,Anna Paulina Luna,,45.2,54.8,,R,,-9.6,6.039999999999999,-11.81,-6.84,-8.22,0.13,,,,,,,0.023119695639449808,-10.07
,House,FL14,2024,Kathy Castor,Rocky Rochford,,56.9,41.6,,D,,15.3,1.6000000000000014,7.63,19.4,22.79,22.66,,,,,,,0.9995610184372257,14.57
,House,FL15,2024,Pat Kemp,Laurel Lee,,43.8,56.2,,R,,-12.4,-6.629999999999999,-11.16,-3.17,-4.02,-1.99,,,,,,,0.008486976880304361,-12.900000000000002
,House,FL16,2024,Jan Schneider,Vern Buchanan,,40.5,59.5,,R,,-19,-8.219999999999999,-15.52,-8.98,-13.18,-11.16,,,,,,,0.0,-18.63
,House,FL17,2024,Manny Lopez,Greg Steube,,36.1,63.9,,R,,-27.8,-5.030000000000001,-23.92,-16.07,-17.16,-9.35,,,,,,,0.0,-25.460000000000004
,House,FL18,2024,Andrea Doria Kale,Scott Franklin,,34.7,65.3,,R,,-30.6,-19.16,-29.43,-23.04,-22.17,-11.24,,,,,,,0.0,-41.03999999999999
,House,FL19,2024,Kari Lerner,Byron Donalds,,33.7,66.3,,R,,-32.6,-7.620000000000001,-29.05,-21.18,-23.95,-23.6,,,,,,,0.0,-30.66
,House,FL20,2024,Sheila Cherfilus-McCormick,,,,,,D,,DN/A,-0.8799999999999955,39.69,52.68,58.47,61.63,,,,,,,1.0,45.57000000000001
,House,FL21,2024,Thomas Witkop,Brian Mast,,38.2,61.8,,R,,-23.6,-10.3,-16.5,-9.5,-10.59,-4.9,,,,,,,0.0,-21.340000000000003
,House,FL22,2024,Lois Frankel,Daniel Franzese,,55,45,,D,,10,-0.3200000000000003,5.55,17.72,20.72,22.49,,,,,,,0.9963418203102137,11.719999999999999
,House,FL23,2024,Jared Moskowitz,Joe Kaufman,,52.4,47.6,,D,,4.8,-1.2699999999999996,1.88,13.27,14.6,11.71,,,,,,,0.9537606087211004,7.57
,House,FL24,2024,Frederica Wilson,Jesus Navarro,,68.2,31.8,,D,,36.4,1.470000000000006,29.95,49.33,64.86,66.85,,,,,,,1.0,42.370000000000005
,House,FL25,2024,Debbie Wasserman Schultz,Chris Eddy,,54.5,45.5,,D,,9,-2.6300000000000026,5.29,20.03,29.31,26.72,,,,,,,0.9604916593503073,11.669999999999998
,House,FL26,2024,Joey Atkins,Mario Diaz-Balart,,29.1,70.9,,R,,-41.8,-16.169999999999998,-34.88,-18.43,3.67,-0.6,,,,,,,0.0,-39.37499999999999
,House,FL27,2024,Lucia Baez-Geller,Maria Elvira Salazar,,39.6,60.4,,R,,-20.8,-7.079999999999999,-14.61,-0.32,17.87,5.07,,,,,,,0.025899912203687446,-12.629999999999999
,House,FL28,2024,Phil Her,Carlos A. Gimenez,,35.4,64.6,,R,,-29.2,-13.82,-25.36,-6.38,16.09,10.45,,,,,,,0.0,-25.1375
,House,GA01,2024,Pattu Hewitt,Buddy Carter,,38,62,,R,,-24,2.299999999999997,-16.5,-13.4,-16.5,-14,,,,,,,0.0,-17.830000000000002
,House,GA02,2024,Sanford Bishop,Wayne Johnson,,56.3,43.7,,D,,12.6,6.729999999999999,7.49,10.3,9.1,14.8,,,,,R,,0.9454901960784313,8.370000000000001
,House,GA03,2024,Maura Keller,Brian Jack,,33.7,66.3,,OPEN,,-32.6,6.729999999999999,-30.96,-30.1,-35.5,-36.4,,,,,R,,0.0,-30.830000000000002
,House,GA04,2024,Hank Johnson,Eugene Yu,,75.6,24.4,,D,,51.2,5.850000000000001,52.2,57.7,55.3,50,,,,,R,,1.0,57.320000000000014
,House,GA05,2024,Nikema Williams,John Salvesen,,85.7,14.3,,D,,71.4,4.88000000000001,72.09,72.8,55.4,65.6,,,,,R,,1.0,74.57
,House,GA06,2024,Lucy McBath,Jeff Criswell,,74.7,25.3,,D,,49.4,3.259999999999998,49.99,49.5,42.4,31.8,,,,,R,,1.0,50.53
,House,GA07,2024,Bob Christian,Rich McCormick,,35.1,64.9,,R,,-29.8,-2.1999999999999993,-21.1,-19.2,-30.1,-46.4,,,,,R,,0.0,-19.93
,House,GA08,2024,Darrius Butler,Austin Scott,,31.1,68.9,,R,,-37.8,-2.0900000000000034,-31.31,-27.6,-30.7,-25.8,,,,,R,,0.0,-33.63
,House,GA09,2024,Tambrei Cash,Andrew Clyde,,31,69,,R,,-38,0.7800000000000082,-34.92,-32.3,-40.7,-47.2,,,,,R,,0.0,-34.02999999999999
,House,GA10,2024,Lexy Dohetry,Mike Collins,,36.9,63.1,,R,,-26.2,1.9299999999999997,-21.85,-21.3,-27.2,-28.6,,,,,R,,0.0,-24.1
,House,GA11,2024,Kate Stamper,Barry Loudermilk,,32.7,67.3,,R,,-34.6,-2.4499999999999993,-23.72,-21.9,-31.2,-41.6,,,,,R,,0.0,-24.029999999999998
,House,GA12,2024,Liz Johnson,Rick Allen,,39.7,60.3,,R,,-20.6,-1.7300000000000004,-14.06,-10.2,-13.2,-9.2,,,,,R,,0.0,-16.01
,House,GA13,2024,David Scott,Jonathan Chavez,,71.8,28.2,,R,,43.6,5.850000000000001,42.38,40.5,29.3,19.6,,,,,R,,1.0,41.92
,House,GA14,2024,Shawn Harris,Marjorie Taylor Greene,,35.6,64.4,,R,,-28.8,12.900000000000002,-37.36,-37.5,-44.9,-45,,,,,,,0.0,-34.779999999999994
,House,HI01,2024,Ed Case,Patrick Largey,,71.8,28.2,,D,,43.6,24.669999999999998,24.74,29.93,34.87,41.45,,,,,,,1.0,36.53000000000001
,House,HI02,2024,Jill Tokuda,Steve Bond,,66.5,30.2,,D,,36.3,3.9099999999999966,21.62,30.19,34.9,45.33,,,,,,,1.0,25.46
,House,IA01,2024,Christina Bohannan,Mariannette Miller-Meeks,,49.9,50.1,,R,,-0.2,3.3400000000000007,-8.43,-2.94,-3.27,13.38,,,,,,,0.04506877377816798,-8.465
,House,IA02,2024,Sarah Corkery,Ashley Hinson,,41.6,57.1,,R,,-15.5,3.4800000000000004,-9.96,-4.48,-4.92,13.03,,,,,,,0.021802750951126718,-9.93
,House,IA03,2024,Lanon Baccam,Zach Nunn,,48.1,51.9,,R,,-3.8,6.85,-4.39,-0.35,-3.28,5.95,,,,,,,0.3131401814457126,-2.93
,House,IA04,2024,Ryan Melton,Randy Feenstra,,32.8,67.2,,R,,-34.4,-3.3200000000000003,-31.36,-26.48,-28.89,-9.26,,,,,,,0.0,-35.519999999999996
,House,ID01,2024,Kaylee Peterson,Russ Fulcher,,25.4,71,,R,,-45.6,1.4600000000000009,-45.06,-39.26,-43.85,-33.92,,,,,,,0.0,-44.33999999999999
,House,ID02,2024,David Roth,Mike Simpson,,31,61.4,,R,,-30.4,3.710000000000001,-26.72,-23.71,-29,-31.7,,,,,,,0.0,-26.43
,House,IL01,2024,Jonathan Jackson,Marcus Lewis,,65.8,34.2,,D,,31.6,-1.769999999999996,32,42.97,50.01,55.89,,,,,,,1.0,34.77
,House,IL02,2024,Robin Kelley,Ashley Ramos,,67.5,32.5,,D,,35,0.8200000000000074,33.1,40.58,44.14,46.85,,,,,,,1.0,34.970000000000006
,House,IL03,2024,Delia Ramirez,John Booras,,67.3,32.7,,D,,34.6,1.9299999999999997,31.2,42.27,47.47,38.3,,,,,,,1.0,38.040000000000006
,House,IL04,2024,Chuy Garcia,Lupe Castillo,,64.3,30.6,,D,,33.7,0.21999999999999886,28.3,47.28,53.81,43.44,,,,,,,1.0,42.050000000000004
,House,IL05,2024,Mike Quigley,Tommy Hanson,,68.9,31.1,,D,,37.8,7.5,37.2,40.5,41.15,23.11,,,,,,,1.0,40.77
,House,IL06,2024,Sean Casten,Niki Conforti,,54.1,45.9,,D,,8.2,4.920000000000001,5.5,11.08,8.86,1.24,,,,,,,0.9872695346795435,10.07
,House,IL07,2024,Danny Davis,Chad Koppie,,83.3,16.7,,D,,66.6,0,65.6,74,79.56,75.74,,,,,,,1.0,68.77
,House,IL08,2024,Raja Krishnamoorthi,Mark Rice,,56.9,43.1,,D,,13.8,5.300000000000001,6.9,15.7,16.74,9.6,,,,,,,0.9985367281240854,14.07
,House,IL09,2024,Jan Schakowsky,Seth Cohen,,63.5,36.5,,D,,27,8.54,36.5,42.06,45.12,32.73,,,,,,,1.0,42.2825
,House,IL10,2024,Brad Schneider,Jim Carris,,59.9,40.1,,D,,19.8,6.84,22,26.36,24.54,10.73,,,,,,,1.0,26.645
,House,IL11,2024,Bill Foster,Jerry Evans,,55.6,44.4,,D,,11.2,4.57,11.4,15.63,11.46,2.05,,,,,,,1.0,14.96
,House,IL12,2024,Brian Roberts,Mike Bost,,25.8,74.2,,R,,-48.4,0.7600000000000051,-43.5,-43.56,-45.04,-26.03,,,,,,,0.0,-50.29
,House,IL13,2024,Nikki Budzinski,Joshua Loyd,,57.3,42.7,,D,,14.6,8.82,10.7,11.48,8.93,14.42,,,,,,,0.9812701199882938,11.75
,House,IL14,2024,Lauren Underwood,Jim Marter,,54.3,45.7,,D,,8.6,3.910000000000001,5.2,11.69,9.21,7.97,,,,,,,0.9912203687445127,9.67
,House,IL15,2024,,Mary Miller,,,,,R,,RN/A,4.560000000000002,-39.9,-39.56,-40.96,-24.13,,,,,,,0.0,-44.23
,House,IL16,2024,,Darin LaHood,,,,,R,,RN/A,-3.3900000000000006,-22.7,-22.01,-25.77,-17.21,,,,,,,0.0,-29.830000000000002
,House,IL17,2024,Eric Sorensen,Joe McGraw,,54.3,45.7,,D,,8.6,3.2199999999999998,4.8,7.98,7.16,17.35,,,,,,,0.8072870939420544,4.265000000000001
,House,IN01,2024,Frank J. Mvran,Randy Niemeyer,,53.4,44.9,,D,,8.5,4.31,0.3,8.49,12.54,23.67,,,,,,,0.7554872695346796,4.179999999999998
,House,IN02,2024,Lori Camp,Rudy Yakym,,34.6,62.7,,R,,-28.1,-2.0000000000000036,-26.4,-23,-26.76,-16.82,,,,,,,0.0,-30.23
,House,IN03,2024,Kiley Adolph,Marlin Sutzman,,31.4,65,,OPEN,,-33.6,0,-31.6,-30.55,-36.26,-25.73,,,,,,,0.0,-34.779999999999994
,House,IN04,2024,Derrick Holder,Jim Baird,,30.5,65.3,,R,,-34.8,0.6100000000000065,-29.7,-29.81,-36.49,-27.64,,,,,,,0.0,-34.815
,House,IN05,2024,Deborah Pickett,Victoria Spartz,,38,56.6,,R,,-18.6,1.2699999999999996,-16.7,-16.27,-25.08,-20.46,,,,,,,0.0,-20.0
,House,IN06,2024,Cinde Wirth,Jefferson Shreve,,31.7,63.9,,OPEN,,-32.2,0,-33.1,-32.62,-39.74,-28.97,,,,,,,0.0,-35.73
,House,IN07,2024,Andre Carson,John Schmitz,,68.3,29,,D,,39.3,0.46000000000000085,41.4,43.14,38.03,33.93,,,,,,,1.0,40.215
,House,IN08,2024,Erik Hurt,Mark Messmer,,29.4,68,,R,,-38.6,6.450000000000003,-36.5,-33.45,-36.01,-19.32,,,,,,,0.0,-36.68
,House,IN09,2024,Tim Peck,Erin Houchin,,32.8,64.5,,R,,-31.7,5.100000000000001,-30.4,-27.9,-29.93,-15.18,,,,,,,0.0,-31.899999999999995
,House,KS01,2024,Paul Buskirk,Tracey Mann,,30.7,69.3,,R,,-38.6,2.0500000000000043,-31.14,-30.25,-36.4,-34.19,,,,,,,0.0,-33.98
,House,KS02,2024,Nancy Boyda,Derek Schmidt,,38.3,57.1,,R,,-18.8,8.7,-19.44,-16.7,-20.27,-11.71,,,,,,,0.0,-17.93
,House,KS03,2024,Sharice Davids,Prasanth Reddy,,53.4,42.6,,D,,10.8,14.75,4.12,4.55,-5.82,-17.31,,,,,,,0.9081065261925666,11.37
,House,KS04,2024,Esau Freeman,Ron Estes,,34.8,65.2,,R,,-30.4,2.8599999999999994,-23.56,-22.26,-29.3,-26.01,,,,,,,0.0,-25.490000000000002
,House,KY01,2024,Erin Marshall,James Comer,,25.3,74.7,,R,,-49.4,0.8000000000000043,-47.28,-43.4,-46.05,-32.27,,,,,,,0.0,-49.55499999999999
,House,KY02,2024,Hank Linderman,Brett Guthrie,,26.9,73.1,,R,,-46.2,-11.699999999999996,-41.31,-27.9,-41.75,-27.97,,,,,,,0.0,-38.09499999999999
,House,KY03,2024,Morgan McGarvey,Mike Craven,,62,38,,D,,24,10.7,18.91,20.5,16.35,13.71,,,,,,,1.0,22.77
,House,KY04,2024,,Thomas Massie,,,,,R,,RN/A,6.400000000000006,-35.54,-33.2,-38.88,-29.21,,,,,,,0.0,-35.23
,House,KY05,2024,,Hal Rogers,,,,,R,,RN/A,3.0,-63.87,-60.2,-61.82,-49.51,,,,,,,0.0,-65.43
,House,KY06,2024,Randy Cravens,Andy Barr,,36.6,63.4,,R,,-26.8,-12.099999999999998,-15.76,-10.9,-18.78,-17.4,,,,,,,0.0001463271875914545,-21.13
,House,LA01,2024,Mel Manuel,Steve Scalise,,24,66.8,,R,,-42.8,-0.8599999999999994,-38.17,-39.1,-42.3,-46,,,,,R,,0.0,-43.68
,House,LA02,2024,Troy Carter,Christy Lynch,,60.3,13.6,,D,,46.7,8.600000000000009,31.24,35.7,35.1,37.2,,,,,R,,1.0,34.470000000000006
,House,LA03,2024,Preiscilla Gonzalez,Clay Higgins,,18.7,70.6,,R,,-51.9,-8.949999999999996,-45.02,-42.6,-42.4,-39.5,,,,,R,,0.0,-51.83
,House,LA04,2024,,Mike Johnson,,,,,R,,RN/A,0,-52.33,-49.5,-49.7,-46.8,,,,,R,,0.0,-55.73
,House,LA05,2024,Michael Vallien Jr.,Julia Letlow,,25.9,62.9,,R,,-37,-14.749999999999993,-36.37,-30,-34.5,-32.6,,,,,R,,0.0,-38.23
,House,LA06,2024,Cleo Fields,Elbert Guillory,,50.8,37.7,,OPEN,,13.1,-14.749999999999993,14.84,19.9,19.2,20.8,,,,,R,,0.84,11.919999999999996
,House,MA01,2024,Richard Neal,,Nadia Milleron,62.4,,37.3,D,,25.1,8.2,13.62,22.1,18.94,27.83,,,,,,,1.0,21.87
,House,MA02,2024,Jim McGovern,,Cornelius Shea,68.6,,31.1,D,,37.5,8.189999999999998,23.18,31.51,25.9,21.45,,,,,,,1.0,32.78
,House,MA03,2024,Lori Trahan,,,,,,D,,DN/A,6.300000000000001,18.68,28,23.14,15.31,,,,,,,1.0,28.37
,House,MA04,2024,Jake Auchincloss,,,,,,D,,DN/A,0,17.17,29,24.35,19.07,,,,,,,1.0,27.435
,House,MA05,2024,Katherine Clark,,,,,,D,,DN/A,3.3100000000000023,34.65,51.99,46.68,33.54,,,,,,,1.0,51.18500000000001
,House,MA06,2024,Seth Moulton,,,,,,D,,DN/A,6.899999999999999,20.27,28.1,19.61,11.11,,,,,,,1.0,29.57
,House,MA07,2024,Ayanna Pressley,,,,,,D,,DN/A,3.260000000000005,62.35,73.44,75.51,69.23,,,,,,,1.0,70.27
,House,MA08,2024,Stephen Lynch,Robert Burke,,70.4,29.4,,D,,41,10.73,25.2,36.07,29.59,19.56,,,,,,,1.0,39.370000000000005
,House,MA09,2024,Bill Keating,Dan Sullivan,,56.4,43.4,,D,,13,7.089999999999996,8.49,18.51,10.66,9.74,,,,,,,1.0,19.455
,House,MD01,2024,Blane Miller,Andy Harris,,37.4,59.5,,R,,-22.1,10.729999999999997,-16.81,-14.83,-24.47,-17.43,,,,,,,0.030875036581796897,-13.330000000000002
,House,MD02,2024,Johnny Olszewski,Kimberly Klacik,,58.3,39.6,,OPEN,,18.7,0,18.3,21.25,11.84,7.88,,,,,,,1.0,19.87
,House,MD03,2024,Sarah Elfreth,Robert Steinberger,,59.4,38,,OPEN,,21.4,0,23.55,26.06,14.72,7.74,,,,,,,1.0,24.33
,House,MD04,2024,Glenn Ivey,George McDermott,,88.8,11.2,,D,,77.6,5.230000000000004,73.22,82.37,84.65,83.16,,,,,,,1.0,79.96
,House,MD05,2024,Steny Hoyer,Michelle Talkington,,67.9,32.1,,D,,35.8,2.099999999999998,33.08,37.1,25.24,27.78,,,,,,,1.0,35.870000000000005
,House,MD06,2024,April McClain-Delaney,Neil Parrott,,53.2,46.8,,OPEN,,6.4,0,5.73,10.03,1.28,1.27,,,,,,,0.9600526777875329,8.799999999999999
,House,MD07,2024,Kweisi Mfume,Scott Collier,,80.4,17.2,,D,,63.2,7.090000000000003,58.56,64.51,63.15,67.69,,,,,,,1.0,63.48000000000001
,House,MD08,2024,Jamie Raskin,Cheryl Riley,,77,20.5,,D,,56.5,5.700000000000003,55.84,63.6,60.98,46.26,,,,,,,1.0,63.370000000000005
,House,ME01,2024,Chellie Pingree,Ronald Russell,,58.5,36.6,,D,,21.9,9.629999999999999,21.1,23.47,15.49,22.02,,,,,,,1.0,25.24
,House,ME02,2024,Jared Golden,Austin Theriault,,50.2,49.7,,D,,0.5,19.7,-8.98,-6.3,-9.79,9.24,,,,,,,0.47805092186128184,-1.0300000000000007
,House,MI01,2024,Callie Barr,Jack Bergman,,37.9,59.2,,R,,-21.3,4.689999999999998,-21.24,-20.09,-24.63,-8.95,,,,,,,0.0,-23.820000000000004
,House,MI02,2024,Michael Lynch,John Moolenaar,,31.7,65.1,,R,,-33.4,6.500000000000007,-29.88,-28.7,-29.86,-10.11,,,,,,,0.0,-32.43
,House,MI03,2024,Hillary Scholten,Paul Hudson,,53.6,43.8,,D,,9.8,11.440000000000001,7.84,8.66,0.16,-2.47,,,,,,,0.9708808896693005,12.370000000000001
,House,MI04,2024,Jessica Swartz,Bill Huizenga,,43.3,55.1,,R,,-11.8,-0.6800000000000015,-5.67,-4.02,-10.05,-5.98,,,,,,,0.028241147205150717,-9.430000000000001
,House,MI05,2024,Libbi Urban,Tim Walberg,,32.8,65.7,,R,,-32.9,4.390000000000001,-27.08,-24.59,-26.83,-8.38,,,,,,,0.0,-29.13
,House,MI06,2024,Debbie Dingell,Heather Smiley,,62,35,,D,,27,11.969999999999999,23.19,27.03,21.86,19.71,,,,,,,1.0,30.13
,House,MI07,2024,Curtis Hertel Jr.,Tom Barrett,,46.6,50.3,,OPEN,,-3.7,0,-1.29,0.96,-4.03,2.6,,,,,,,0.4490781387181738,-0.7699999999999991
,House,MI08,2024,Kristen McDonald Rivet,Paul Junge,,51.3,44.6,,OPEN,,6.7,0,-1.99,2.06,1.11,17,,,,,,,0.4135206321334504,-1.6699999999999995
,House,MI09,2024,Clinton St. Mosley,Lisa McClain,,29.5,66.8,,R,,-37.3,6.379999999999999,-32.33,-29.88,-34.78,-14.61,,,,,,,0.0,-32.72999999999999
,House,MI10,2024,Carl Marlinga,John James,,45,51.1,,R,,-6.1,7.690000000000001,-6.55,-0.99,-5.64,6.54,,,,,,,0.3225051214515657,-2.73
,House,MI11,2024,Haley Stevens,Nick Somberg,,58.2,39.6,,D,,18.6,9.7,16.1,20.1,14.6,13.34,,,,,,,1.0,21.950000000000003
,House,MI12,2024,Rashida Tlaib,James Hooper,,69.7,25.4,,D,,44.3,2.6300000000000026,37.69,49.07,48.97,53.35,,,,,,,1.0,45.27
,House,MI13,2024,Shri Thanedar,Martell Bivings,,68.6,24.5,,D,,44.1,4.1200000000000045,41.38,50.18,53.1,64.02,,,,,,,1.0,45.95
,House,MN01,2024,Rachel Bohman,Brad Finstad,,41.4,58.6,,R,,-17.2,5.01,-12,-9.41,-15.25,1.97,,,,,,,0.00980392156862745,-12.69
,House,MN02,2024,Angie Craig,Joe Teirab,,55.6,42.1,,D,,13.5,5.17,5.83,7.33,-1.17,-0.23,,,,,,,0.9379572724612233,7.25
,House,MN03,2024,Kelly Morrison,Tad Jude,,58.5,41.5,,OPEN,,17,0,21.27,21.4,12.06,3.25,,,,,,,1.0,20.47
,House,MN04,2024,Betty McCollum,May Lor Xiong,,75.2,24.8,,D,,50.4,4.190000000000001,35.68,38.41,34.05,27.62,,,,,,,1.0,37.37
,House,MN05,2024,Illhan Omar,Dalia al-Aqidi,,67.4,32.6,,D,,34.8,-6.809999999999995,61.86,64.41,60.47,51.56,,,,,,,1.0,57.910000000000004
,House,MN06,2024,Jeanne Hendricks,Tom Emmer,,37.5,62.5,,R,,-25,1.0399999999999991,-19.67,-18.04,-25.93,-15.53,,,,,,,0.0,-22.77
,House,MN07,2024,A.J. Peters,Michelle Fischbach,,29.5,70.5,,R,,-41,1.6300000000000026,-36.48,-33.83,-36.74,-13.32,,,,,,,0.0,-39.98499999999999
,House,MN08,2024,Jennifer Schultz,Pete Stauber,,42,58,,R,,-16,4.339999999999998,-14.29,-11.54,-13.9,7.1,,,,,,,0.0,-16.13
,House,MO01,2024,Wesley Bell,Andrew Jones,,75.9,18.4,,OPEN,,57.5,0,57.1,59.33,56.41,56.15,,,,,,,1.0,53.870000000000005
,House,MO02,2024,Ray Hartmann,Ann Wagner,,42.5,54.5,,R,,-12,3.289999999999999,-7.9,-7.89,-17.32,-19.02,,,,,,,0.051214515657009074,-10.030000000000001
,House,MO03,2024,Bethany Mann,Bob Onder,,35.3,61.3,,OPEN,,-26,0,-26.8,-26.63,-32.52,-24.25,,,,,,,0.0,-30.359999999999996
,House,MO04,2024,Jeanette Cass,Mark Alford,,26.4,71.1,,R,,-44.7,2.6099999999999994,-42.4,-40.41,-43.92,-29.28,,,,,,,0.0,-45.50499999999999
,House,MO05,2024,Emanuel Cleaver,Sean Smith,,60.2,36.5,,D,,23.7,4.949999999999999,23.2,26.85,21.56,21.39,,,,,,,1.0,26.05
,House,MO06,2024,Pam May,Sam Graves,,29.6,70.7,,R,,-41.1,2.1600000000000037,-38.9,-37.76,-40.39,-25.89,,,,,,,0.0,-43.25999999999999
,House,MO07,2024,Missi Hesketh,Eric Burlison,,26.3,71.5,,R,,-45.2,5.270000000000003,-42.5,-42.17,-47.74,-38.3,,,,,,,0.0,-44.83
,House,MO08,2024,Randi McCallian,Jason Smith,,21.8,76.2,,R,,-54.4,5.140000000000001,-54,-52.04,-52.87,-33.2,,,,,,,0.0,-56.34999999999999
,House,MS01,2024,Dianne Black,Trent Kelley,,30,69.8,,R,,-39.8,-6.640000000000001,-37,-32.16,-34.48,-25.81,,,,,,,0.0,-42.029999999999994
,House,MS02,2024,Bennie Thompson,Ron Eller,,61.4,38.5,,D,,22.9,1.009999999999998,20.4,26.39,26.24,31.27,,,,,,,1.0,21.66
,House,MS03,2024,,Michael Guest,,,,,R,,RN/A,-9.57,-29.2,-24.63,-28.16,-24.8,,,,,,,0.0,-35.144999999999996
,House,MS04,2024,Craig Raybon,Mike Ezell,,25.9,73.9,,R,,-48,-2.9399999999999977,-42.5,-38.56,-42.38,-36.99,,,,,,,0.0,-45.815
,House,MT01,2024,Monica Tranel,Ryan Zinke,,44.6,52.2,,R,,-7.6,11.15,-11.51,-7.05,-12.8,-7.8,,,,,,,0.19651741293532338,-6.205000000000002
,House,MT02,2024,John Driscoll,Troy Downing,,33.8,65.6,,R,,-31.8,0.14000000000000057,-29.64,-27.54,-31.97,-20.24,,,,,,,0.0,-33.629999999999995
,House,NC01,2024,Don Davis,Laurie Buckhout,,49.5,47.8,,D,,1.7,4.71,-3.15,1.7,4.7,10.4,,,,,R,,0.3296078431372549,-2.4699999999999984
,House,NC02,2024,Deborah Ross,Alan Swain,,66.3,31.6,,D,,34.7,7.93,33.82,35.2,29.4,21.4,,,,,R,,1.0,36.970000000000006
,House,NC03,2024,,Greg Murphy,Gheorghe Cormos,,77.4,22.6,R,,-54.8,-1.2799999999999976,-22.36,-17.2,-17.1,-13.8,,,,,R,,0.0,-23.93
,House,NC04,2024,Valerie Foushee,Eric Blankenburg,,71.8,26.1,,D,,45.7,6.009999999999998,44.91,46,43.1,35.4,,,,,R,,1.0,46.27
,House,NC05,2024,Chuck Hubbard,Virginia Foxx,,40.5,59.5,,R,,-19,2.0500000000000007,-19.15,-15.4,-14,-8.4,,,,,R,,0.0,-21.879999999999995
,House,NC06,2024,,Addison McDowell,Kevin Hayes,,69.2,30.8,OPEN,,-38.4,2.0500000000000007,-26.04,-16.3,-19.6,-16.8,,,,,R,,0.0,-19.58
,House,NC07,2024,Marlando Pridgen,David Rouzer,,41.4,58.6,,R,,-17.2,8.32,-13.25,-11,-12.5,-7.2,,,,,R,,0.014509803921568627,-14.629999999999999
